year,Ta,LST,vpd,Rf,Ws,Wd,SoS,LoS,ndvi,def,Ign,BA,BAlog
2001,9.90664533187936,16.7217584059191,0.395166195491241,5.16860522131841,0.786555030332049,35.960370320553,145.343175899307,106.357486768116,0.605407686256897,30.2699189792466,204,0.992518172210521,-0.00750995705639796
2002,9.93263203866731,16.5288105565913,0.337676261032555,5.69434886918131,0.149687359922842,4.66079038007649,149.162187232186,101.087866281068,0.600502651965823,15.6870479115374,170,0.105957549104044,-2.24471674523419
2003,8.80625737605612,16.0140291016228,0.301570452425387,5.5867405945168,0.536051978577976,99.2658995521765,150.215060684301,105.638057312226,0.602171968392475,16.848323499427,146,0.389250076783224,-0.943533271008642
2004,7.33315857497794,13.9408443464977,0.265890974966418,4.86025635283399,0.898034337575615,56.1065097742402,152.839661587646,102.682347826599,0.587050298772448,13.7152728587725,99,0.0182277508599609,-4.00481007365938
2005,9.02078447729974,15.7266573597567,0.321145395150116,5.85629309966457,0.909006309450018,52.4585998433092,145.459818690295,111.02042577235,0.600493613254065,17.8966835024921,224,0.271616653189023,-1.30336357004834
2006,8.88293700977095,15.188780100653,0.312397947668124,5.56222292431386,0.365911469668295,105.3709372213,150.51972255959,103.869713675827,0.597575961993813,16.5875387500575,115,0.0731463089048713,-2.61529361205267
2007,9.30730270322252,15.6344280042314,0.308953796591538,6.54758525786635,0.554693024018975,49.8956517367407,148.420601432658,106.919481106453,0.611685449182219,12.129139295966,104,0.0572640616897291,-2.86008204767264
2008,8.47981239048312,14.8074498045975,0.292249358596733,6.11748336667153,0.932505252690438,42.1649401098356,152.281015483196,104.411824445489,0.59311263967353,16.762572463745,119,0.0239595112414062,-3.73138990488259
2009,8.82726339963873,15.6080535693634,0.33789691208747,5.08849170932745,0.512535733581721,104.199336819675,149.9883908674,110.534795462977,0.590228814732493,20.8918231903906,177,0.0895818515422456,-2.41260252926895
2010,9.34513257917638,15.3182980045776,0.337784401190362,6.81982814605865,0.307806110872173,176.879946208757,146.492431238024,106.134342922945,0.599443342731587,20.5405248767205,149,0.161699674814038,-1.82201452344601
2011,9.62779118950772,15.7227857419479,0.335379476393156,6.45434278049108,0.963915929275626,42.5919136284641,144.966576211781,112.924579831784,0.629012122321376,19.3309550008823,127,0.0947722879341177,-2.35627823382545
2012,9.82842170466336,16.5153691927437,0.356519435834638,5.89734635188221,0.494923514259372,140.01589010241,147.006235321401,110.063944949119,0.621658717301639,25.1530893494787,152,0.0819339794567808,-2.50184148458381
2013,9.3428790738468,16.816403824151,0.368884194330462,4.74626958153667,1.03904512172556,54.0792199398758,139.311700871632,114.720199908597,0.604339364890545,29.8414312826608,298,0.461198206248793,-0.773927379907907
2014,9.13999613117781,15.2948060194883,0.305705081848012,6.28414042606405,0.216670833767836,95.8459377303674,149.178402313988,105.217071631925,0.596934994398093,21.0645099973945,141,0.154685575270532,-1.86636076899209
2015,9.02992543367963,15.338763415074,0.293100581273666,7.26096229864887,0.507794694113919,31.2560760063013,145.998876713937,107.751494958373,0.641983071960685,16.5928068514548,132,0.0321814729776679,-3.4363643653869
2016,9.387812106765,16.3937560246607,0.368519732978054,5.45506302625254,0.907100692440673,161.545001290516,145.980809118665,113.855716217038,0.631055282806505,24.6788766229241,77,0.274141615347036,-1.29411046177985
2017,8.35897740150303,14.4127592452583,0.292883606020873,6.11355758349859,0.456409923932772,135.236625031854,153.588814788877,103.014067528242,0.611084179010653,19.0718337581987,56,0.0162258644144531,-4.12114874111141
2018,10.3059030947542,17.0516491703238,0.37683277460861,4.86467916765306,0.122571597189104,61.7301337559489,146.661749595909,116.137455496929,0.644634767303612,21.8272156063089,141,0.572169115436814,-0.558320674942001
2019,11.3310509138149,18.3404159148504,0.418196833459225,4.63759483817997,0.585222271029215,11.7946603887038,145.334475117104,111.500070583741,0.65131393082201,36.1976525109612,348,1.54918780322211,0.437730795675048
2020,11.5096120316489,18.2861812560902,0.41615578401738,5.26972297088989,0.86535585720299,32.2544405799883,137.597949965647,124.37750922129,0.661700759706517,39.0213065432211,423,2.48269981503586,0.909346603138517
