Year,FireCCILT11,MCD64A1,FireCCI51,C3SBA10,Landsat,Sentinel-2
1982,16160.0631945098,NaN,NaN,NaN,NaN,NaN
1983,82090.223045098,NaN,NaN,NaN,NaN,NaN
1984,35947.1545588235,NaN,NaN,NaN,NaN,NaN
1985,555.5498,NaN,NaN,NaN,NaN,NaN
1986,274.461865882353,NaN,NaN,NaN,NaN,NaN
1987,3081.02405411765,NaN,NaN,NaN,NaN,NaN
1988,47297.5204458824,NaN,NaN,NaN,NaN,NaN
1989,30978.3322066667,NaN,NaN,NaN,NaN,NaN
1990,12499.0935129412,NaN,NaN,NaN,NaN,NaN
1991,7638.5001772549,NaN,NaN,NaN,NaN,NaN
1992,743.9546,NaN,NaN,NaN,NaN,NaN
1993,10471.792605098,NaN,NaN,NaN,NaN,NaN
1994,NaN,NaN,NaN,NaN,NaN,NaN
1995,8649.41625019608,NaN,NaN,NaN,NaN,NaN
1996,2312.06795215686,NaN,NaN,NaN,NaN,NaN
1997,4452.16813137255,NaN,NaN,NaN,NaN,NaN
1998,2350.52512313726,NaN,NaN,NaN,NaN,NaN
1999,4052.3671,NaN,NaN,NaN,NaN,NaN
2000,18809.9405156863,NaN,NaN,NaN,NaN,NaN
2001,95259.1782576471,109951.117855012,105572.840033886,NaN,NaN,NaN
2002,25096.780487451,19639.2462770956,24595.9368456381,NaN,NaN,NaN
2003,96726.2635643137,121234.205874639,110763.469618445,NaN,NaN,NaN
2004,12057.6510015686,11605.2113260049,6648.84110584943,NaN,NaN,NaN
2005,57067.24744,50413.2120861336,49006.3254516238,NaN,NaN,NaN
2006,43427.0791298039,58498.6970142463,47764.1454600752,NaN,NaN,NaN
2007,31652.9964745098,21787.4188158333,25355.0995341385,NaN,NaN,NaN
2008,7599.61675058823,36614.4327615625,4376.19377207032,NaN,NaN,NaN
2009,22788.2393152941,41600.9683564338,20680.6380229596,NaN,NaN,NaN
2010,13636.7998901961,49329.842134565,14389.7135998093,NaN,NaN,NaN
2011,13007.9482709804,26750.5517946691,6657.10163066404,NaN,NaN,NaN
2012,17720.2806447059,25000.5921942831,11910.8462216927,NaN,NaN,NaN
2013,66173.5020592157,59307.9570613358,51544.7679629623,NaN,46157.5050722952,NaN
2014,21669.5909890196,15152.8781217892,21517.8274475205,NaN,17868.0260578498,NaN
2015,9952.69942666667,21275.2716418811,8214.59458925783,NaN,8251.09404152587,NaN
2016,257403.394775686,233617.525741716,293802.73635172,NaN,239419.81322935,NaN
2017,8142.2749517647,13394.8224455882,7587.47539934281,8787.69545744485,7412.85773305651,NaN
2018,65991.6163317647,50542.9656598284,66191.5890908399,69545.0843215454,62502.7484095143,NaN
2019,NaN,104644.295922855,181097.213346226,196797.857569051,151361.433520236,161212.707965203
2020,NaN,52992.2250455637,NaN,150325.336507424,118531.720847888,137094.977620844
